Week,Influenza: (United States),WEEK
8/5/07,5,32
8/12/07,5,33
8/19/07,6,34
8/26/07,7,35
9/2/07,8,36
9/9/07,9,37
9/16/07,13,38
9/23/07,17,39
9/30/07,25,40
10/7/07,32,41
10/14/07,36,42
10/21/07,38,43
10/28/07,36,44
11/4/07,37,45
11/11/07,32,46
11/18/07,22,47
11/25/07,22,48
12/2/07,19,49
12/9/07,18,50
12/16/07,16,51
12/23/07,15,52
12/30/07,17,1
1/6/08,17,2
1/13/08,16,3
1/20/08,20,4
1/27/08,28,5
2/3/08,37,6
2/10/08,40,7
2/17/08,46,8
2/24/08,41,9
3/2/08,31,10
3/9/08,25,11
3/16/08,19,12
3/23/08,17,13
3/30/08,13,14
4/6/08,12,15
4/13/08,10,16
4/20/08,9,17
4/27/08,8,18
5/4/08,7,19
5/11/08,8,20
5/18/08,6,21
5/25/08,6,22
6/1/08,6,23
6/8/08,6,24
6/15/08,6,25
6/22/08,5,26
6/29/08,5,27
7/6/08,5,28
7/13/08,5,29
7/20/08,5,30
7/27/08,5,31
8/3/08,6,32
8/10/08,6,33
8/17/08,7,34
8/24/08,7,35
8/31/08,8,36
9/7/08,10,37
9/14/08,12,38
9/21/08,17,39
9/28/08,23,40
10/5/08,31,41
10/12/08,34,42
10/19/08,39,43
10/26/08,39,44
11/2/08,33,45
11/9/08,46,46
11/16/08,28,47
11/23/08,18,48
11/30/08,22,49
12/7/08,19,50
12/14/08,16,51
12/21/08,14,52
12/28/08,16,53
1/4/09,3,1
1/11/09,3,2
1/18/09,3,3
1/25/09,3,4
2/1/09,4,5
2/8/09,4,6
2/15/09,4,7
2/22/09,4,8
3/1/09,4,9
3/8/09,3,10
3/15/09,3,11
3/22/09,2,12
3/29/09,2,13
4/5/09,2,14
4/12/09,2,15
4/19/09,6,16
4/26/09,100,17
5/3/09,29,18
5/10/09,11,19
5/17/09,10,20
5/24/09,7,21
5/31/09,6,22
6/7/09,7,23
6/14/09,6,24
6/21/09,5,25
6/28/09,7,26
7/5/09,5,27
7/12/09,5,28
7/19/09,5,29
7/26/09,5,30
8/2/09,5,31
8/9/09,6,32
8/16/09,7,33
8/23/09,10,34
8/30/09,13,35
9/6/09,14,36
9/13/09,16,37
9/20/09,17,38
9/27/09,20,39
10/4/09,23,40
10/11/09,25,41
10/18/09,32,42
10/25/09,31,43
11/1/09,24,44
11/8/09,18,45
11/15/09,13,46
11/22/09,9,47
11/29/09,7,48
12/6/09,6,49
12/13/09,6,50
12/20/09,4,51
12/27/09,4,52
1/3/10,4,1
1/10/10,4,2
1/17/10,3,3
1/24/10,3,4
1/31/10,3,5
2/7/10,2,6
2/14/10,2,7
2/21/10,2,8
2/28/10,2,9
3/7/10,2,10
3/14/10,2,11
3/21/10,2,12
3/28/10,2,13
4/4/10,2,14
4/11/10,2,15
4/18/10,2,16
4/25/10,2,17
5/2/10,2,18
5/9/10,2,19
5/16/10,2,20
5/23/10,1,21
5/30/10,1,22
6/6/10,1,23
6/13/10,1,24
6/20/10,1,25
6/27/10,1,26
7/4/10,1,27
7/11/10,1,28
7/18/10,1,29
7/25/10,1,30
8/1/10,1,31
8/8/10,1,32
8/15/10,1,33
8/22/10,2,34
8/29/10,2,35
9/5/10,3,36
9/12/10,4,37
9/19/10,4,38
9/26/10,5,39
10/3/10,6,40
10/10/10,5,41
10/17/10,5,42
10/24/10,5,43
10/31/10,4,44
11/7/10,4,45
11/14/10,4,46
11/21/10,3,47
11/28/10,3,48
12/5/10,3,49
12/12/10,3,50
12/19/10,3,51
12/26/10,4,52
1/2/11,4,1
1/9/11,4,2
1/16/11,4,3
1/23/11,5,4
1/30/11,5,5
2/6/11,5,6
2/13/11,5,7
2/20/11,5,8
2/27/11,4,9
3/6/11,3,10
3/13/11,3,11
3/20/11,2,12
3/27/11,2,13
4/3/11,2,14
4/10/11,2,15
4/17/11,2,16
4/24/11,2,17
5/1/11,1,18
5/8/11,1,19
5/15/11,2,20
5/22/11,1,21
5/29/11,1,22
6/5/11,1,23
6/12/11,1,24
6/19/11,1,25
6/26/11,1,26
7/3/11,1,27
7/10/11,1,28
7/17/11,1,29
7/24/11,1,30
7/31/11,1,31
8/7/11,1,32
8/14/11,1,33
8/21/11,2,34
8/28/11,2,35
9/4/11,3,36
9/11/11,3,37
9/18/11,4,38
9/25/11,5,39
10/2/11,6,40
10/9/11,5,41
10/16/11,5,42
10/23/11,5,43
10/30/11,4,44
11/6/11,4,45
11/13/11,4,46
11/20/11,3,47
11/27/11,3,48
12/4/11,3,49
12/11/11,3,50
12/18/11,3,51
12/25/11,3,52
1/1/12,3,1
1/8/12,3,2
1/15/12,3,3
1/22/12,3,4
1/29/12,3,5
2/5/12,3,6
2/12/12,3,7
2/19/12,3,8
2/26/12,3,9
3/4/12,3,10
3/11/12,3,11
3/18/12,3,12
3/25/12,2,13
4/1/12,2,14
4/8/12,2,15
4/15/12,2,16
4/22/12,2,17
4/29/12,2,18
5/6/12,2,19
5/13/12,2,20
5/20/12,1,21
5/27/12,1,22
6/3/12,1,23
6/10/12,1,24
6/17/12,1,25
6/24/12,1,26
7/1/12,1,27
7/8/12,1,28
7/15/12,1,29
7/22/12,1,30
7/29/12,1,31
8/5/12,1,32
8/12/12,2,33
8/19/12,2,34
8/26/12,2,35
9/2/12,3,36
9/9/12,3,37
9/16/12,4,38
9/23/12,5,39
9/30/12,5,40
10/7/12,6,41
10/14/12,5,42
10/21/12,5,43
10/28/12,4,44
11/4/12,4,45
11/11/12,4,46
11/18/12,4,47
11/25/12,5,48
12/2/12,7,49
12/9/12,7,50
12/16/12,7,51
12/23/12,8,52
12/30/12,11,1
1/6/13,32,2
1/13/13,25,3
1/20/13,14,4
1/27/13,9,5
2/3/13,7,6
2/10/13,5,7
2/17/13,5,8
2/24/13,4,9
3/3/13,4,10
3/10/13,4,11
3/17/13,3,12
3/24/13,3,13
3/31/13,3,14
4/7/13,3,15
4/14/13,2,16
4/21/13,2,17
4/28/13,2,18
5/5/13,2,19
5/12/13,2,20
5/19/13,1,21
5/26/13,1,22
6/2/13,1,23
6/9/13,1,24
6/16/13,1,25
6/23/13,1,26
6/30/13,1,27
7/7/13,1,28
7/14/13,1,29
7/21/13,1,30
7/28/13,1,31
8/4/13,1,32
8/11/13,1,33
8/18/13,2,34
8/25/13,2,35
9/1/13,3,36
9/8/13,3,37
9/15/13,4,38
9/22/13,6,39
9/29/13,6,40
10/6/13,6,41
10/13/13,6,42
10/20/13,6,43
10/27/13,5,44
11/3/13,5,45
11/10/13,5,46
11/17/13,4,47
11/24/13,4,48
12/1/13,4,49
12/8/13,5,50
12/15/13,6,51
12/22/13,8,52
12/29/13,11,1
1/5/14,35,2
1/12/14,33,3
1/19/14,26,4
1/26/14,22,5
2/2/14,15,6
2/9/14,12,7
2/16/14,11,8
2/23/14,9,9
3/2/14,8,10
3/9/14,8,11
3/16/14,7,12
3/23/14,7,13
3/30/14,7,14
4/6/14,7,15
4/13/14,6,16
4/20/14,6,17
4/27/14,6,18
5/4/14,5,19
5/11/14,5,20
5/18/14,4,21
5/25/14,4,22
6/1/14,4,23
6/8/14,4,24
6/15/14,4,25
6/22/14,3,26
6/29/14,3,27
7/6/14,3,28
7/13/14,3,29
7/20/14,3,30
7/27/14,3,31
8/3/14,4,32
8/10/14,4,33
8/17/14,4,34
8/24/14,5,35
8/31/14,6,36
9/7/14,9,37
9/14/14,12,38
9/21/14,14,39
9/28/14,18,40
10/5/14,21,41
10/12/14,24,42
10/19/14,21,43
10/26/14,17,44
11/2/14,15,45
11/9/14,13,46
11/16/14,13,47
11/23/14,11,48
11/30/14,16,49
12/7/14,19,50
12/14/14,27,51
12/21/14,30,52
12/28/14,35,53
1/4/15,30,1
1/11/15,24,2
1/18/15,22,3
1/25/15,19,4
2/1/15,16,5
2/8/15,14,6
2/15/15,13,7
2/22/15,12,8
3/1/15,11,9
3/8/15,10,10
3/15/15,9,11
3/22/15,8,12
3/29/15,8,13
4/5/15,9,14
4/12/15,9,15
4/19/15,8,16
4/26/15,6,17
5/3/15,6,18
5/10/15,5,19
5/17/15,6,20
5/24/15,5,21
5/31/15,4,22
6/7/15,4,23
6/14/15,4,24
6/21/15,4,25
6/28/15,3,26
7/5/15,3,27
7/12/15,3,28
7/19/15,4,29
7/26/15,3,30
8/2/15,4,31
8/9/15,4,32
8/16/15,4,33
8/23/15,5,34
8/30/15,6,35
9/6/15,7,36
9/13/15,10,37
9/20/15,12,38
9/27/15,15,39
10/4/15,19,40
10/11/15,18,41
10/18/15,18,42
10/25/15,16,43
11/1/15,14,44
11/8/15,13,45
11/15/15,12,46
11/22/15,9,47
11/29/15,11,48
12/6/15,10,49
12/13/15,10,50
12/20/15,10,51
12/27/15,10,52
1/3/16,10,1
1/10/16,9,2
1/17/16,10,3
1/24/16,10,4
1/31/16,10,5
2/7/16,11,6
2/14/16,14,7
2/21/16,15,8
2/28/16,16,9
3/6/16,17,10
3/13/16,15,11
3/20/16,13,12
3/27/16,12,13
4/3/16,10,14
4/10/16,9,15
4/17/16,10,16
4/24/16,8,17
5/1/16,7,18
5/8/16,7,19
5/15/16,7,20
5/22/16,9,21
5/29/16,7,22
6/5/16,5,23
6/12/16,4,24
6/19/16,4,25
6/26/16,4,26
7/3/16,4,27
7/10/16,4,28
7/17/16,3,29
7/24/16,3,30
7/31/16,4,31
8/7/16,4,32
8/14/16,4,33
8/21/16,5,34
8/28/16,7,35
9/4/16,8,36
9/11/16,11,37
9/18/16,12,38
9/25/16,15,39
10/2/16,17,40
10/9/16,17,41
10/16/16,15,42
10/23/16,15,43
10/30/16,13,44
11/6/16,11,45
11/13/16,12,46
11/20/16,9,47
11/27/16,11,48
12/4/16,11,49
12/11/16,11,50
12/18/16,12,51
12/25/16,14,52
1/1/17,17,1
1/8/17,17,2
1/15/17,17,3
1/22/17,18,4
1/29/17,21,5
2/5/17,26,6
2/12/17,25,7
2/19/17,22,8
2/26/17,17,9
3/5/17,15,10
3/12/17,14,11
3/19/17,14,12
3/26/17,13,13
4/2/17,11,14
4/9/17,9,15
4/16/17,8,16
4/23/17,7,17
4/30/17,6,18
5/7/17,6,19
5/14/17,5,20
5/21/17,5,21
5/28/17,5,22
6/4/17,5,23
6/11/17,5,24
6/18/17,4,25
6/25/17,4,26
7/2/17,4,27
7/9/17,4,28
7/16/17,4,29
7/23/17,4,30
7/30/17,4,31
8/6/17,4,32
8/13/17,5,33
8/20/17,6,34
8/27/17,7,35
9/3/17,8,36
9/10/17,11,37
9/17/17,13,38
9/24/17,16,39
10/1/17,18,40
10/8/17,17,41
10/15/17,18,42
10/22/17,17,43
10/29/17,15,44
11/5/17,16,45
11/12/17,15,46
11/19/17,13,47
11/26/17,15,48
12/3/17,18,49
12/10/17,20,50
12/17/17,28,51
12/24/17,35,52
12/31/17,41,1
1/7/18,63,2
1/14/18,80,3
1/21/18,91,4
1/28/18,100,5
2/4/18,85,6
2/11/18,72,7
2/18/18,44,8
2/25/18,29,9
3/4/18,21,10
3/11/18,17,11
3/18/18,15,12
3/25/18,16,13
4/1/18,13,14
4/8/18,10,15
4/15/18,9,16
4/22/18,8,17
4/29/18,7,18
5/6/18,6,19
5/13/18,6,20
5/20/18,5,21
5/27/18,5,22
6/3/18,5,23
6/10/18,5,24
6/17/18,4,25
6/24/18,4,26
7/1/18,4,27
7/8/18,4,28
7/15/18,4,29
7/22/18,4,30
7/29/18,4,31
8/5/18,5,32
8/12/18,5,33
8/19/18,6,34
8/26/18,7,35
9/2/18,11,36
9/9/18,13,37
9/16/18,15,38
9/23/18,19,39
9/30/18,24,40
10/7/18,24,41
10/14/18,29,42
10/21/18,25,43
10/28/18,22,44
11/4/18,18,45
11/11/18,17,46
11/18/18,14,47
11/25/18,17,48
12/2/18,15,49
12/9/18,16,50
12/16/18,18,51
12/23/18,23,52
12/30/18,25,1
1/6/19,24,2
1/13/19,22,3
1/20/19,23,4
1/27/19,26,5
2/3/19,31,6
2/10/19,29,7
2/17/19,29,8
2/24/19,26,9
3/3/19,25,10
3/10/19,24,11
3/17/19,21,12
3/24/19,17,13
3/31/19,14,14
4/7/19,12,15
4/14/19,10,16
4/21/19,9,17
4/28/19,8,18
5/5/19,7,19
5/12/19,7,20
5/19/19,6,21
5/26/19,5,22
6/2/19,5,23
6/9/19,5,24
6/16/19,5,25
6/23/19,5,26
6/30/19,4,27
