Week,Influenza vaccine: (United States),WEEK
2/28/10,2,9
3/7/10,2,10
3/14/10,2,11
3/21/10,2,12
3/28/10,2,13
4/4/10,2,14
4/11/10,2,15
4/18/10,2,16
4/25/10,2,17
5/2/10,2,18
5/9/10,1,19
5/16/10,1,20
5/23/10,1,21
5/30/10,1,22
6/6/10,1,23
6/13/10,1,24
6/20/10,1,25
6/27/10,1,26
7/4/10,1,27
7/11/10,1,28
7/18/10,1,29
7/25/10,1,30
8/1/10,2,31
8/8/10,2,32
8/15/10,2,33
8/22/10,4,34
8/29/10,6,35
9/5/10,9,36
9/12/10,12,37
9/19/10,15,38
9/26/10,18,39
10/3/10,24,40
10/10/10,21,41
10/17/10,21,42
10/24/10,18,43
10/31/10,16,44
11/7/10,13,45
11/14/10,11,46
11/21/10,7,47
11/28/10,6,48
12/5/10,6,49
12/12/10,5,50
12/19/10,4,51
12/26/10,4,52
1/2/11,5,1
1/9/11,4,2
1/16/11,4,3
1/23/11,4,4
1/30/11,3,5
2/6/11,4,6
2/13/11,3,7
2/20/11,3,8
2/27/11,2,9
3/6/11,2,10
3/13/11,1,11
3/20/11,1,12
3/27/11,1,13
4/3/11,1,14
4/10/11,1,15
4/17/11,1,16
4/24/11,1,17
5/1/11,1,18
5/8/11,1,19
5/15/11,1,20
5/22/11,1,21
5/29/11,1,22
6/5/11,1,23
6/12/11,1,24
6/19/11,1,25
6/26/11,1,26
7/3/11,1,27
7/10/11,1,28
7/17/11,1,29
7/24/11,1,30
7/31/11,1,31
8/7/11,1,32
8/14/11,2,33
8/21/11,3,34
8/28/11,5,35
9/4/11,7,36
9/11/11,12,37
9/18/11,16,38
9/25/11,18,39
10/2/11,23,40
10/9/11,22,41
10/16/11,21,42
10/23/11,19,43
10/30/11,14,44
11/6/11,12,45
11/13/11,9,46
11/20/11,6,47
11/27/11,7,48
12/4/11,6,49
12/11/11,5,50
12/18/11,4,51
12/25/11,4,52
1/1/12,4,1
1/8/12,3,2
1/15/12,3,3
1/22/12,3,4
1/29/12,3,5
2/5/12,2,6
2/12/12,2,7
2/19/12,2,8
2/26/12,2,9
3/4/12,2,10
3/11/12,2,11
3/18/12,2,12
3/25/12,1,13
4/1/12,1,14
4/8/12,1,15
4/15/12,1,16
4/22/12,1,17
4/29/12,1,18
5/6/12,1,19
5/13/12,1,20
5/20/12,1,21
5/27/12,1,22
6/3/12,1,23
6/10/12,1,24
6/17/12,1,25
6/24/12,1,26
7/1/12,1,27
7/8/12,1,28
7/15/12,1,29
7/22/12,1,30
7/29/12,1,31
8/5/12,2,32
8/12/12,2,33
8/19/12,3,34
8/26/12,5,35
9/2/12,7,36
9/9/12,11,37
9/16/12,14,38
9/23/12,17,39
9/30/12,22,40
10/7/12,22,41
10/14/12,20,42
10/21/12,18,43
10/28/12,13,44
11/4/12,11,45
11/11/12,11,46
11/18/12,8,47
11/25/12,9,48
12/2/12,16,49
12/9/12,11,50
12/16/12,8,51
12/23/12,7,52
12/30/12,13,1
1/6/13,64,2
1/13/13,45,3
1/20/13,15,4
1/27/13,8,5
2/3/13,5,6
2/10/13,3,7
2/17/13,3,8
2/24/13,3,9
3/3/13,2,10
3/10/13,2,11
3/17/13,2,12
3/24/13,2,13
3/31/13,2,14
4/7/13,2,15
4/14/13,1,16
4/21/13,1,17
4/28/13,1,18
5/5/13,1,19
5/12/13,1,20
5/19/13,1,21
5/26/13,1,22
6/2/13,1,23
6/9/13,1,24
6/16/13,1,25
6/23/13,1,26
6/30/13,1,27
7/7/13,1,28
7/14/13,1,29
7/21/13,1,30
7/28/13,1,31
8/4/13,1,32
8/11/13,2,33
8/18/13,3,34
8/25/13,4,35
9/1/13,8,36
9/8/13,12,37
9/15/13,16,38
9/22/13,23,39
9/29/13,27,40
10/6/13,27,41
10/13/13,26,42
10/20/13,25,43
10/27/13,20,44
11/3/13,18,45
11/10/13,14,46
11/17/13,12,47
11/24/13,9,48
12/1/13,8,49
12/8/13,7,50
12/15/13,8,51
12/22/13,8,52
12/29/13,15,1
1/5/14,55,2
1/12/14,45,3
1/19/14,29,4
1/26/14,19,5
2/2/14,12,6
2/9/14,9,7
2/16/14,8,8
2/23/14,6,9
3/2/14,5,10
3/9/14,4,11
3/16/14,4,12
3/23/14,4,13
3/30/14,4,14
4/6/14,3,15
4/13/14,3,16
4/20/14,3,17
4/27/14,3,18
5/4/14,2,19
5/11/14,3,20
5/18/14,2,21
5/25/14,2,22
6/1/14,2,23
6/8/14,2,24
6/15/14,2,25
6/22/14,2,26
6/29/14,2,27
7/6/14,2,28
7/13/14,2,29
7/20/14,2,30
7/27/14,3,31
8/3/14,4,32
8/10/14,4,33
8/17/14,7,34
8/24/14,8,35
8/31/14,13,36
9/7/14,22,37
9/14/14,32,38
9/21/14,43,39
9/28/14,54,40
10/5/14,66,41
10/12/14,70,42
10/19/14,65,43
10/26/14,48,44
11/2/14,41,45
11/9/14,32,46
11/16/14,26,47
11/23/14,18,48
11/30/14,25,49
12/7/14,24,50
12/14/14,19,51
12/21/14,14,52
12/28/14,18,53
1/4/15,18,1
1/11/15,14,2
1/18/15,10,3
1/25/15,9,4
2/1/15,8,5
2/8/15,6,6
2/15/15,6,7
2/22/15,5,8
3/1/15,4,9
3/8/15,4,10
3/15/15,4,11
3/22/15,3,12
3/29/15,3,13
4/5/15,3,14
4/12/15,4,15
4/19/15,3,16
4/26/15,3,17
5/3/15,2,18
5/10/15,2,19
5/17/15,2,20
5/24/15,2,21
5/31/15,2,22
6/7/15,2,23
6/14/15,2,24
6/21/15,2,25
6/28/15,2,26
7/5/15,2,27
7/12/15,2,28
7/19/15,3,29
7/26/15,3,30
8/2/15,3,31
8/9/15,4,32
8/16/15,6,33
8/23/15,9,34
8/30/15,13,35
9/6/15,15,36
9/13/15,28,37
9/20/15,37,38
9/27/15,49,39
10/4/15,67,40
10/11/15,59,41
10/18/15,59,42
10/25/15,49,43
11/1/15,40,44
11/8/15,32,45
11/15/15,26,46
11/22/15,17,47
11/29/15,17,48
12/6/15,14,49
12/13/15,13,50
12/20/15,9,51
12/27/15,9,52
1/3/16,10,1
1/10/16,8,2
1/17/16,7,3
1/24/16,7,4
1/31/16,7,5
2/7/16,6,6
2/14/16,7,7
2/21/16,7,8
2/28/16,6,9
3/6/16,6,10
3/13/16,5,11
3/20/16,5,12
3/27/16,4,13
4/3/16,4,14
4/10/16,4,15
4/17/16,4,16
4/24/16,3,17
5/1/16,3,18
5/8/16,3,19
5/15/16,2,20
5/22/16,2,21
5/29/16,2,22
6/5/16,2,23
6/12/16,2,24
6/19/16,2,25
6/26/16,2,26
7/3/16,2,27
7/10/16,2,28
7/17/16,3,29
7/24/16,3,30
7/31/16,3,31
8/7/16,4,32
8/14/16,6,33
8/21/16,8,34
8/28/16,11,35
9/4/16,18,36
9/11/16,27,37
9/18/16,34,38
9/25/16,46,39
10/2/16,56,40
10/9/16,53,41
10/16/16,50,42
10/23/16,45,43
10/30/16,34,44
11/6/16,27,45
11/13/16,25,46
11/20/16,17,47
11/27/16,18,48
12/4/16,15,49
12/11/16,13,50
12/18/16,12,51
12/25/16,11,52
1/1/17,14,1
1/8/17,13,2
1/15/17,12,3
1/22/17,12,4
1/29/17,12,5
2/5/17,12,6
2/12/17,11,7
2/19/17,9,8
2/26/17,7,9
3/5/17,6,10
3/12/17,5,11
3/19/17,5,12
3/26/17,4,13
4/2/17,5,14
4/9/17,4,15
4/16/17,3,16
4/23/17,3,17
4/30/17,3,18
5/7/17,3,19
5/14/17,2,20
5/21/17,2,21
5/28/17,2,22
6/4/17,3,23
6/11/17,3,24
6/18/17,3,25
6/25/17,3,26
7/2/17,3,27
7/9/17,3,28
7/16/17,3,29
7/23/17,3,30
7/30/17,4,31
8/6/17,5,32
8/13/17,7,33
8/20/17,10,34
8/27/17,14,35
9/3/17,18,36
9/10/17,28,37
9/17/17,37,38
9/24/17,49,39
10/1/17,59,40
10/8/17,56,41
10/15/17,54,42
10/22/17,50,43
10/29/17,42,44
11/5/17,37,45
11/12/17,32,46
11/19/17,22,47
11/26/17,26,48
12/3/17,29,49
12/10/17,21,50
12/17/17,20,51
12/24/17,19,52
12/31/17,22,1
1/7/18,40,2
1/14/18,50,3
1/21/18,57,4
1/28/18,59,5
2/4/18,37,6
2/11/18,31,7
2/18/18,15,8
2/25/18,10,9
3/4/18,7,10
3/11/18,6,11
3/18/18,5,12
3/25/18,5,13
4/1/18,5,14
4/8/18,4,15
4/15/18,4,16
4/22/18,4,17
4/29/18,3,18
5/6/18,3,19
5/13/18,2,20
5/20/18,3,21
5/27/18,3,22
6/3/18,3,23
6/10/18,3,24
6/17/18,3,25
6/24/18,3,26
7/1/18,2,27
7/8/18,3,28
7/15/18,3,29
7/22/18,3,30
7/29/18,4,31
8/5/18,5,32
8/12/18,6,33
8/19/18,10,34
8/26/18,13,35
9/2/18,23,36
9/9/18,34,37
9/16/18,43,38
9/23/18,58,39
9/30/18,80,40
10/7/18,83,41
10/14/18,100,42
10/21/18,81,43
10/28/18,65,44
11/4/18,49,45
11/11/18,41,46
11/18/18,28,47
11/25/18,29,48
12/2/18,23,49
12/9/18,20,50
12/16/18,18,51
12/23/18,16,52
12/30/18,20,1
1/6/19,23,2
1/13/19,16,3
1/20/19,14,4
1/27/19,14,5
2/3/19,14,6
2/10/19,13,7
2/17/19,12,8
2/24/19,10,9
3/3/19,10,10
3/10/19,9,11
3/17/19,7,12
3/24/19,6,13
3/31/19,6,14
4/7/19,5,15
4/14/19,4,16
4/21/19,4,17
4/28/19,4,18
5/5/19,3,19
5/12/19,3,20
5/19/19,3,21
5/26/19,2,22
6/2/19,3,23
6/9/19,3,24
6/16/19,3,25
6/23/19,3,26
6/30/19,2,27
