Week,prevent flu: (United States),WEEK
9/16/07,17,38
9/23/07,9,39
9/30/07,17,40
10/7/07,16,41
10/14/07,16,42
10/21/07,20,43
10/28/07,33,44
11/4/07,21,45
11/11/07,19,46
11/18/07,18,47
11/25/07,22,48
12/2/07,11,49
12/9/07,28,50
12/16/07,14,51
12/23/07,10,52
12/30/07,26,1
1/6/08,8,2
1/13/08,12,3
1/20/08,22,4
1/27/08,14,5
2/3/08,31,6
2/10/08,27,7
2/17/08,27,8
2/24/08,31,9
3/2/08,14,10
3/9/08,24,11
3/16/08,12,12
3/23/08,26,13
3/30/08,14,14
4/6/08,7,15
4/13/08,14,16
4/20/08,14,17
4/27/08,7,18
5/4/08,12,19
5/11/08,14,20
5/18/08,7,21
5/25/08,8,22
6/1/08,7,23
6/8/08,0,24
6/15/08,0,25
6/22/08,8,26
6/29/08,0,27
7/6/08,7,28
7/13/08,7,29
7/20/08,15,30
7/27/08,7,31
8/3/08,0,32
8/10/08,7,33
8/17/08,0,34
8/24/08,0,35
8/31/08,0,36
9/7/08,0,37
9/14/08,14,38
9/21/08,14,39
9/28/08,7,40
10/5/08,22,41
10/12/08,17,42
10/19/08,33,43
10/26/08,23,44
11/2/08,0,45
11/9/08,26,46
11/16/08,24,47
11/23/08,18,48
11/30/08,23,49
12/7/08,29,50
12/14/08,22,51
12/21/08,11,52
12/28/08,21,53
1/4/09,3,1
1/11/09,2,2
1/18/09,1,3
1/25/09,3,4
2/1/09,2,5
2/8/09,2,6
2/15/09,2,7
2/22/09,2,8
3/1/09,2,9
3/8/09,2,10
3/15/09,2,11
3/22/09,1,12
3/29/09,1,13
4/5/09,1,14
4/12/09,1,15
4/19/09,3,16
4/26/09,100,17
5/3/09,17,18
5/10/09,4,19
5/17/09,4,20
5/24/09,4,21
5/31/09,3,22
6/7/09,2,23
6/14/09,2,24
6/21/09,1,25
6/28/09,1,26
7/5/09,1,27
7/12/09,3,28
7/19/09,2,29
7/26/09,3,30
8/2/09,2,31
8/9/09,4,32
8/16/09,5,33
8/23/09,8,34
8/30/09,12,35
9/6/09,12,36
9/13/09,12,37
9/20/09,15,38
9/27/09,15,39
10/4/09,17,40
10/11/09,22,41
10/18/09,31,42
10/25/09,27,43
11/1/09,19,44
11/8/09,11,45
11/15/09,9,46
11/22/09,5,47
11/29/09,5,48
12/6/09,4,49
12/13/09,3,50
12/20/09,2,51
12/27/09,1,52
1/3/10,2,1
1/10/10,4,2
1/17/10,3,3
1/24/10,2,4
1/31/10,3,5
2/7/10,2,6
2/14/10,2,7
2/21/10,3,8
2/28/10,3,9
3/7/10,2,10
3/14/10,1,11
3/21/10,3,12
3/28/10,1,13
4/4/10,2,14
4/11/10,1,15
4/18/10,2,16
4/25/10,1,17
5/2/10,1,18
5/9/10,1,19
5/16/10,2,20
5/23/10,1,21
5/30/10,1,22
6/6/10,1,23
6/13/10,1,24
6/20/10,1,25
6/27/10,2,26
7/4/10,1,27
7/11/10,1,28
7/18/10,1,29
7/25/10,1,30
8/1/10,<1,31
8/8/10,<1,32
8/15/10,1,33
8/22/10,1,34
8/29/10,1,35
9/5/10,2,36
9/12/10,2,37
9/19/10,2,38
9/26/10,2,39
10/3/10,2,40
10/10/10,2,41
10/17/10,2,42
10/24/10,2,43
10/31/10,2,44
11/7/10,3,45
11/14/10,2,46
11/21/10,1,47
11/28/10,3,48
12/5/10,2,49
12/12/10,2,50
12/19/10,2,51
12/26/10,3,52
1/2/11,4,1
1/9/11,3,2
1/16/11,2,3
1/23/11,4,4
1/30/11,4,5
2/6/11,3,6
2/13/11,3,7
2/20/11,4,8
2/27/11,3,9
3/6/11,2,10
3/13/11,2,11
3/20/11,3,12
3/27/11,1,13
4/3/11,2,14
4/10/11,2,15
4/17/11,1,16
4/24/11,1,17
5/1/11,1,18
5/8/11,1,19
5/15/11,1,20
5/22/11,1,21
5/29/11,1,22
6/5/11,0,23
6/12/11,1,24
6/19/11,<1,25
6/26/11,1,26
7/3/11,1,27
7/10/11,<1,28
7/17/11,1,29
7/24/11,<1,30
7/31/11,0,31
8/7/11,1,32
8/14/11,1,33
8/21/11,1,34
8/28/11,1,35
9/4/11,1,36
9/11/11,2,37
9/18/11,2,38
9/25/11,2,39
10/2/11,2,40
10/9/11,3,41
10/16/11,2,42
10/23/11,2,43
10/30/11,3,44
11/6/11,3,45
11/13/11,3,46
11/20/11,2,47
11/27/11,3,48
12/4/11,3,49
12/11/11,2,50
12/18/11,3,51
12/25/11,2,52
1/1/12,3,1
1/8/12,2,2
1/15/12,3,3
1/22/12,3,4
1/29/12,2,5
2/5/12,3,6
2/12/12,3,7
2/19/12,3,8
2/26/12,3,9
3/4/12,2,10
3/11/12,2,11
3/18/12,1,12
3/25/12,1,13
4/1/12,1,14
4/8/12,2,15
4/15/12,1,16
4/22/12,1,17
4/29/12,1,18
5/6/12,2,19
5/13/12,1,20
5/20/12,1,21
5/27/12,2,22
6/3/12,1,23
6/10/12,1,24
6/17/12,1,25
6/24/12,<1,26
7/1/12,1,27
7/8/12,1,28
7/15/12,1,29
7/22/12,1,30
7/29/12,1,31
8/5/12,1,32
8/12/12,2,33
8/19/12,1,34
8/26/12,1,35
9/2/12,1,36
9/9/12,2,37
9/16/12,3,38
9/23/12,3,39
9/30/12,2,40
10/7/12,2,41
10/14/12,3,42
10/21/12,3,43
10/28/12,3,44
11/4/12,2,45
11/11/12,2,46
11/18/12,4,47
11/25/12,6,48
12/2/12,7,49
12/9/12,7,50
12/16/12,8,51
12/23/12,9,52
12/30/12,12,1
1/6/13,31,2
1/13/13,26,3
1/20/13,11,4
1/27/13,9,5
2/3/13,7,6
2/10/13,4,7
2/17/13,4,8
2/24/13,4,9
3/3/13,4,10
3/10/13,3,11
3/17/13,3,12
3/24/13,3,13
3/31/13,2,14
4/7/13,2,15
4/14/13,3,16
4/21/13,2,17
4/28/13,1,18
5/5/13,2,19
5/12/13,2,20
5/19/13,1,21
5/26/13,2,22
6/2/13,1,23
6/9/13,1,24
6/16/13,1,25
6/23/13,1,26
6/30/13,1,27
7/7/13,1,28
7/14/13,1,29
7/21/13,<1,30
7/28/13,1,31
8/4/13,1,32
8/11/13,1,33
8/18/13,1,34
8/25/13,1,35
9/1/13,1,36
9/8/13,1,37
9/15/13,2,38
9/22/13,3,39
9/29/13,3,40
10/6/13,3,41
10/13/13,3,42
10/20/13,3,43
10/27/13,3,44
11/3/13,3,45
11/10/13,3,46
11/17/13,4,47
11/24/13,3,48
12/1/13,3,49
12/8/13,5,50
12/15/13,6,51
12/22/13,8,52
12/29/13,9,1
1/5/14,24,2
1/12/14,23,3
1/19/14,15,4
1/26/14,15,5
2/2/14,13,6
2/9/14,8,7
2/16/14,7,8
2/23/14,5,9
3/2/14,5,10
3/9/14,5,11
3/16/14,4,12
3/23/14,5,13
3/30/14,7,14
4/6/14,4,15
4/13/14,3,16
4/20/14,5,17
4/27/14,3,18
5/4/14,3,19
5/11/14,3,20
5/18/14,2,21
5/25/14,3,22
6/1/14,2,23
6/8/14,2,24
6/15/14,1,25
6/22/14,2,26
6/29/14,1,27
7/6/14,1,28
7/13/14,2,29
7/20/14,1,30
7/27/14,2,31
8/3/14,1,32
8/10/14,1,33
8/17/14,2,34
8/24/14,1,35
8/31/14,4,36
9/7/14,3,37
9/14/14,5,38
9/21/14,6,39
9/28/14,6,40
10/5/14,8,41
10/12/14,10,42
10/19/14,8,43
10/26/14,10,44
11/2/14,8,45
11/9/14,6,46
11/16/14,8,47
11/23/14,6,48
11/30/14,13,49
12/7/14,14,50
12/14/14,20,51
12/21/14,21,52
12/28/14,22,53
1/4/15,22,1
1/11/15,16,2
1/18/15,15,3
1/25/15,12,4
2/1/15,11,5
2/8/15,11,6
2/15/15,11,7
2/22/15,8,8
3/1/15,8,9
3/8/15,9,10
3/15/15,7,11
3/22/15,6,12
3/29/15,5,13
4/5/15,5,14
4/12/15,5,15
4/19/15,4,16
4/26/15,4,17
5/3/15,3,18
5/10/15,3,19
5/17/15,3,20
5/24/15,2,21
5/31/15,3,22
6/7/15,1,23
6/14/15,1,24
6/21/15,2,25
6/28/15,1,26
7/5/15,1,27
7/12/15,1,28
7/19/15,2,29
7/26/15,2,30
8/2/15,3,31
8/9/15,2,32
8/16/15,2,33
8/23/15,2,34
8/30/15,3,35
9/6/15,2,36
9/13/15,3,37
9/20/15,6,38
9/27/15,5,39
10/4/15,5,40
10/11/15,7,41
10/18/15,5,42
10/25/15,6,43
11/1/15,6,44
11/8/15,5,45
11/15/15,7,46
11/22/15,4,47
11/29/15,7,48
12/6/15,6,49
12/13/15,5,50
12/20/15,9,51
12/27/15,8,52
1/3/16,5,1
1/10/16,7,2
1/17/16,6,3
1/24/16,7,4
1/31/16,5,5
2/7/16,8,6
2/14/16,8,7
2/21/16,10,8
2/28/16,11,9
3/6/16,12,10
3/13/16,9,11
3/20/16,6,12
3/27/16,7,13
4/3/16,5,14
4/10/16,6,15
4/17/16,4,16
4/24/16,5,17
5/1/16,5,18
5/8/16,2,19
5/15/16,2,20
5/22/16,3,21
5/29/16,3,22
6/5/16,2,23
6/12/16,2,24
6/19/16,2,25
6/26/16,2,26
7/3/16,2,27
7/10/16,2,28
7/17/16,1,29
7/24/16,1,30
7/31/16,1,31
8/7/16,1,32
8/14/16,1,33
8/21/16,2,34
8/28/16,3,35
9/4/16,4,36
9/11/16,5,37
9/18/16,5,38
9/25/16,5,39
10/2/16,5,40
10/9/16,6,41
10/16/16,5,42
10/23/16,8,43
10/30/16,5,44
11/6/16,5,45
11/13/16,7,46
11/20/16,5,47
11/27/16,8,48
12/4/16,7,49
12/11/16,8,50
12/18/16,13,51
12/25/16,14,52
1/1/17,13,1
1/8/17,13,2
1/15/17,12,3
1/22/17,13,4
1/29/17,15,5
2/5/17,20,6
2/12/17,16,7
2/19/17,17,8
2/26/17,9,9
3/5/17,11,10
3/12/17,8,11
3/19/17,9,12
3/26/17,8,13
4/2/17,8,14
4/9/17,7,15
4/16/17,5,16
4/23/17,4,17
4/30/17,4,18
5/7/17,4,19
5/14/17,4,20
5/21/17,4,21
5/28/17,2,22
6/4/17,2,23
6/11/17,2,24
6/18/17,2,25
6/25/17,2,26
7/2/17,2,27
7/9/17,3,28
7/16/17,1,29
7/23/17,2,30
7/30/17,2,31
8/6/17,2,32
8/13/17,2,33
8/20/17,3,34
8/27/17,3,35
9/3/17,4,36
9/10/17,5,37
9/17/17,7,38
9/24/17,7,39
10/1/17,6,40
10/8/17,7,41
10/15/17,7,42
10/22/17,7,43
10/29/17,7,44
11/5/17,9,45
11/12/17,9,46
11/19/17,9,47
11/26/17,9,48
12/3/17,14,49
12/10/17,17,50
12/17/17,28,51
12/24/17,33,52
12/31/17,35,1
1/7/18,64,2
1/14/18,82,3
1/21/18,99,4
1/28/18,100,5
2/4/18,87,6
2/11/18,63,7
2/18/18,32,8
2/25/18,17,9
3/4/18,13,10
3/11/18,12,11
3/18/18,9,12
3/25/18,9,13
4/1/18,7,14
4/8/18,9,15
4/15/18,5,16
4/22/18,6,17
4/29/18,5,18
5/6/18,5,19
5/13/18,3,20
5/20/18,5,21
5/27/18,3,22
6/3/18,2,23
6/10/18,2,24
6/17/18,3,25
6/24/18,2,26
7/1/18,2,27
7/8/18,2,28
7/15/18,2,29
7/22/18,2,30
7/29/18,2,31
8/5/18,2,32
8/12/18,4,33
8/19/18,2,34
8/26/18,4,35
9/2/18,6,36
9/9/18,9,37
9/16/18,8,38
9/23/18,11,39
9/30/18,13,40
10/7/18,10,41
10/14/18,13,42
10/21/18,11,43
10/28/18,10,44
11/4/18,12,45
11/11/18,10,46
11/18/18,9,47
11/25/18,11,48
12/2/18,12,49
12/9/18,13,50
12/16/18,16,51
12/23/18,19,52
12/30/18,20,1
1/6/19,19,2
1/13/19,21,3
1/20/19,14,4
1/27/19,22,5
2/3/19,27,6
2/10/19,23,7
2/17/19,24,8
2/24/19,17,9
3/3/19,18,10
3/10/19,16,11
3/17/19,17,12
3/24/19,11,13
3/31/19,10,14
4/7/19,8,15
4/14/19,6,16
4/21/19,5,17
4/28/19,7,18
5/5/19,8,19
5/12/19,4,20
5/19/19,3,21
5/26/19,2,22
6/2/19,3,23
6/9/19,3,24
6/16/19,3,25
6/23/19,3,26
6/30/19,2,27
