REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2017,27,7071,75,79,2.17791,1.06067,1.11724
National,X,2017,28,7394,92,68,2.16392,1.24425,0.919665
National,X,2017,29,7178,87,45,1.83895,1.21204,0.626916
National,X,2017,30,6755,72,50,1.80607,1.06588,0.740192
National,X,2017,31,6725,96,35,1.94796,1.42751,0.520446
National,X,2017,32,6893,76,55,1.90048,1.10257,0.797911
National,X,2017,33,7596,62,40,1.34281,0.816219,0.526593
National,X,2017,34,8160,80,37,1.43382,0.980392,0.453431
National,X,2017,35,9404,120,62,1.93535,1.27605,0.659294
National,X,2017,36,10381,128,68,1.88806,1.23302,0.655043
National,X,2017,37,11602,148,72,1.89622,1.27564,0.620583
National,X,2017,38,12699,137,75,1.66942,1.07883,0.590598
National,X,2017,39,13622,155,77,1.70313,1.13787,0.565262
National,X,2017,40,15532,230,112,2.20191,1.48081,0.721092
National,X,2017,41,16557,248,98,2.08975,1.49786,0.591895
National,X,2017,42,17827,278,110,2.17647,1.55943,0.617042
National,X,2017,43,18391,340,135,2.58279,1.84873,0.734055
National,X,2017,44,20015,503,219,3.60729,2.51312,1.09418
National,X,2017,45,21886,689,240,4.24472,3.14813,1.09659
National,X,2017,46,23794,939,322,5.29966,3.94637,1.35328
National,X,2017,47,23830,1336,353,7.0877,5.60638,1.48133
National,X,2017,48,27213,1552,436,7.30533,5.70316,1.60218
National,X,2017,49,30767,2479,827,10.7453,8.05733,2.68794
National,X,2017,50,35194,4560,844,15.3549,12.9568,2.39814
National,X,2017,51,48009,9237,1698,22.777,19.2401,3.53684
National,X,2017,52,55518,12002,2092,25.3864,21.6182,3.76815
National,X,2018,1,61316,13018,2535,25.3653,21.231,4.13432
National,X,2018,2,68276,15149,3246,26.9421,22.1879,4.75423
National,X,2018,3,69124,14782,3905,27.034,21.3848,5.64927
National,X,2018,4,80322,16634,5350,27.3698,20.7091,6.66069
National,X,2018,5,81687,15193,6915,27.0643,18.599,8.46524
National,X,2018,6,81391,14116,7858,26.9981,17.3434,9.65463
National,X,2018,7,74973,11371,8210,26.1174,15.1668,10.9506
National,X,2018,8,60034,7177,6400,22.6155,11.9549,10.6606
National,X,2018,9,48489,4405,4559,18.4867,9.08453,9.40213
National,X,2018,10,40978,2897,3534,15.6938,7.06965,8.62414
National,X,2018,11,36794,2349,3384,15.5813,6.38419,9.19715
National,X,2018,12,33442,2023,3103,15.328,6.04928,9.27875
National,X,2018,13,30668,1708,2927,15.1135,5.56932,9.54415
National,X,2018,14,27339,1132,2337,12.6888,4.1406,8.54823
National,X,2018,15,25052,901,1917,11.2486,3.59652,7.65208
National,X,2018,16,21483,595,1424,9.39813,2.76963,6.6285
National,X,2018,17,19328,472,1074,7.99876,2.44205,5.55671
National,X,2018,18,17095,346,724,6.25914,2.02398,4.23516
National,X,2018,19,14978,191,467,4.39311,1.2752,3.11791
National,X,2018,20,13013,176,236,3.16606,1.35249,1.81357
National,X,2018,21,11799,119,163,2.39003,1.00856,1.38147
National,X,2018,22,10789,76,89,1.52934,0.704421,0.824914
National,X,2018,23,9703,73,80,1.57683,0.752345,0.824487
National,X,2018,24,8929,51,65,1.29914,0.571173,0.727965
National,X,2018,25,8502,49,38,1.02329,0.576335,0.446954
National,X,2018,26,7723,57,29,1.11356,0.738055,0.375502
National,X,2018,27,6879,44,25,1.00305,0.639628,0.363425
National,X,2018,28,6986,51,13,0.916118,0.730031,0.186086
National,X,2018,29,6835,57,15,1.0534,0.833943,0.219459
National,X,2018,30,6733,48,19,0.995099,0.712907,0.282192
National,X,2018,31,6292,43,17,0.953592,0.683408,0.270184
National,X,2018,32,6790,43,22,0.95729,0.633284,0.324006
National,X,2018,33,7065,36,18,0.764331,0.509554,0.254777
National,X,2018,34,7783,77,27,1.33625,0.989336,0.34691
National,X,2018,35,8712,98,33,1.50367,1.12489,0.378788
National,X,2018,36,9786,119,52,1.74739,1.21602,0.531371
National,X,2018,37,12030,155,48,1.68745,1.28845,0.399002
National,X,2018,38,13182,158,66,1.69929,1.1986,0.500683
National,X,2018,39,14763,169,52,1.49699,1.14475,0.352232
National,X,2018,40,16528,218,71,1.74855,1.31897,0.429574
National,X,2018,41,18035,223,83,1.6967,1.23648,0.460216
National,X,2018,42,20190,311,89,1.98118,1.54037,0.440812
National,X,2018,43,21369,340,101,2.06374,1.59109,0.472647
National,X,2018,44,22352,389,99,2.18325,1.74034,0.442913
National,X,2018,45,23399,543,98,2.73943,2.32061,0.418821
National,X,2018,46,24381,668,102,3.1582,2.73984,0.418359
National,X,2018,47,24598,893,73,3.92715,3.63038,0.296772
National,X,2018,48,28146,998,105,3.91885,3.5458,0.373055
National,X,2018,49,28923,1660,150,6.258,5.73938,0.518618
National,X,2018,50,32990,3240,191,10.4001,9.82116,0.578963
National,X,2018,51,38242,5286,185,14.3063,13.8225,0.483761
National,X,2018,52,43184,6842,235,16.388,15.8438,0.544183
National,X,2019,1,44183,5234,141,12.1653,11.8462,0.319127
National,X,2019,2,41406,5065,213,12.7469,12.2325,0.514418
National,X,2019,3,41806,6652,180,16.3422,15.9116,0.43056
National,X,2019,4,43939,8293,241,19.4224,18.8739,0.548488
National,X,2019,5,48292,10602,277,22.5275,21.9539,0.573594
National,X,2019,6,53615,13057,407,25.1124,24.3533,0.759116
National,X,2019,7,52829,13246,500,26.0198,25.0733,0.94645
National,X,2019,8,53646,13618,461,26.2443,25.3849,0.859337
National,X,2019,9,52837,13362,429,26.101,25.2891,0.811931
National,X,2019,10,52933,13148,426,25.6437,24.8389,0.804791
National,X,2019,11,53092,13336,556,26.1659,25.1187,1.04724
National,X,2019,12,48494,10309,605,22.5059,21.2583,1.24758
National,X,2019,13,42603,7655,587,19.3461,17.9682,1.37784
National,X,2019,14,36528,4881,583,14.9584,13.3624,1.59604
National,X,2019,15,31513,3196,555,11.903,10.1418,1.76118
National,X,2019,16,27909,1891,509,8.59938,6.77559,1.82378
National,X,2019,17,24584,1027,407,5.83306,4.17751,1.65555
National,X,2019,18,19767,627,322,4.80093,3.17195,1.62898
National,X,2019,19,17399,402,272,3.87379,2.31048,1.56331
National,X,2019,20,16716,332,264,3.56545,1.98612,1.57933
National,X,2019,21,15389,271,255,3.41803,1.761,1.65703
National,X,2019,22,14108,212,224,3.09045,1.50269,1.58775
National,X,2019,23,12368,141,207,2.81371,1.14004,1.67367
National,X,2019,24,11143,128,134,2.35125,1.1487,1.20255
National,X,2019,25,10235,109,90,1.94431,1.06497,0.879336
National,X,2019,26,8944,93,95,2.10197,1.0398,1.06216
National,X,2019,27,8201,120,84,2.4875,1.46324,1.02427
National,X,2019,28,7873,91,78,2.14658,1.15585,0.990728
National,X,2019,29,6010,84,75,2.64559,1.39767,1.24792
