generated on 30/07/2019 23:21:08 UTC																					
																					
Country	WHOREGION	FLUREGION	Year	Week	SDATE	EDATE	SPEC_RECEIVED_NB	SPEC_PROCESSED_NB	AH1	AH1N12009	AH3	AH5	ANOTSUBTYPED	INF_A	BYAMAGATA	BVICTORIA	BNOTDETERMINED	INF_B	ALL_INF	ALL_INF2	TITLE
United States of America	Region of the Americas of WHO	North America	2005	36	9/5/05	9/11/05		642	0		1		0	1			0	0	1		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	37	9/12/05	9/18/05		665	0		4		0	4			1	1	5		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	38	9/19/05	9/25/05		520	0		0		0	0			0	0	0		No Activity
United States of America	Region of the Americas of WHO	North America	2005	39	9/26/05	10/2/05		371	0		0		0	0			0	0	0		No Activity
United States of America	Region of the Americas of WHO	North America	2005	40	10/3/05	10/9/05		1844	0		6		4	10			1	1	11		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	41	10/10/05	10/16/05		2143	0		6		4	10			1	1	11		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	42	10/17/05	10/23/05		2283	0		12		6	18			5	5	23		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	43	10/24/05	10/30/05		2618	0		6		5	11			2	2	13		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	44	10/31/05	11/6/05		2732	0		13		4	17			3	3	20		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	45	11/7/05	11/13/05		3139	1		21		12	34			6	6	40		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2005	46	11/14/05	11/20/05		3209	2		18		16	36			4	4	40		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	47	11/21/05	11/27/05		2450	0		18		17	35			3	3	38		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	48	11/28/05	12/4/05		3056	1		53		29	83			2	2	85		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2005	49	12/5/05	12/11/05		3405	1		109		64	174			8	8	182		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2005	50	12/12/05	12/18/05		3946	0		233		92	325			5	5	330		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2005	51	12/19/05	12/25/05		4619	0		266		325	591			9	9	600		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2005	52	12/26/05	1/1/06		4909	2		312		322	636			18	18	654		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2006	1	1/2/06	1/8/06		4953	0		226		255	481			21	21	502		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2006	2	1/9/06	1/15/06		5514	4		293		324	621			13	13	634		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2006	3	1/16/06	1/22/06		5414	4		278		331	613			15	15	628		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2006	4	1/23/06	1/29/06		5500	4		299		428	731			23	23	754		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	5	1/30/06	2/5/06		5748	5		302		463	770			50	50	820		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	6	2/6/06	2/12/06		5665	9		304		520	833			96	96	929		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	7	2/13/06	2/19/06		5797	15		338		618	971			94	94	1065		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	8	2/20/06	2/26/06		6740	16		346		767	1129			130	130	1259		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	9	2/27/06	3/5/06		6420	27		421		726	1174			263	263	1437		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	10	3/6/06	3/12/06		6366	51		392		750	1193			317	317	1510		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	11	3/13/06	3/19/06		5529	37		265		516	818			322	322	1140		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	12	3/20/06	3/26/06		5180	76		164		435	675			354	354	1029		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	13	3/27/06	4/2/06		4205	61		121		288	470			387	387	857		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	14	4/3/06	4/9/06		3676	38		53		171	262			285	285	547		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2006	15	4/10/06	4/16/06		3316	23		50		112	185			208	208	393		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	16	4/17/06	4/23/06		2808	23		30		58	111			203	203	314		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	17	4/24/06	4/30/06		1753	10		1		38	49			117	117	166		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	18	5/1/06	5/7/06		1386	3		4		40	47			79	79	126		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	19	5/8/06	5/14/06		1097	0		0		36	36			64	64	100		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	20	5/15/06	5/21/06		811	1		1		8	10			41	41	51		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	40	10/2/06	10/8/06		2309	13		2		26	41			15	15	56		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	41	10/9/06	10/15/06		2502	20		1		37	58			9	9	67		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	42	10/16/06	10/22/06		2900	17		4		37	58			22	22	80		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	43	10/23/06	10/29/06		3237	13		2		46	61			23	23	84		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	44	10/30/06	11/5/06		3765	25		1		75	101			42	42	143		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	45	11/6/06	11/12/06		4262	18		1		93	112			43	43	155		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	46	11/13/06	11/19/06		4525	25		2		74	101			32	32	133		Sporadic
United States of America	Region of the Americas of WHO	North America	2006	47	11/20/06	11/26/06		4538	21		2		110	133			28	28	161		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2006	48	11/27/06	12/3/06		5642	43		1		111	155			54	54	209		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2006	49	12/4/06	12/10/06		5805	55		2		145	202			62	62	264		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2006	50	12/11/06	12/17/06		6686	106		9		306	421			120	120	541		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2006	51	12/18/06	12/24/06		7083	194		10		392	596			133	133	729		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2006	52	12/25/06	12/31/06		6777	201		14		366	581			123	123	704		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2007	1	1/1/07	1/7/07		6711	128		14		240	382			86	86	468		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2007	2	1/8/07	1/14/07		6430	180		35		293	508			86	86	594		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2007	3	1/15/07	1/21/07		6200	174		44		420	638			80	80	718		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2007	4	1/22/07	1/28/07		7200	310		86		760	1156			154	154	1310		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2007	5	1/29/07	2/4/07		8261	367		107		1172	1646			203	203	1849		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2007	6	2/5/07	2/11/07		8986	497		133		1491	2121			411	411	2532		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2007	7	2/12/07	2/18/07		9780	430		133		1544	2107			416	416	2523		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2007	8	2/19/07	2/25/07		9947	297		156		1388	1841			526	526	2367		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2007	9	2/26/07	3/4/07		8634	201		192		1006	1399			550	550	1949		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2007	10	3/5/07	3/11/07		7848	169		199		751	1119			470	470	1589		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2007	11	3/12/07	3/18/07		6928	147		207		569	923			430	430	1353		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2007	12	3/19/07	3/25/07		6460	65		165		491	721			369	369	1090		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2007	13	3/26/07	4/1/07		5558	59		173		322	554			211	211	765		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2007	14	4/2/07	4/8/07		4698	33		101		228	362			156	156	518		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2007	15	4/9/07	4/15/07		4290	31		186		158	375			140	140	515		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2007	16	4/16/07	4/22/07		3857	28		126		138	292			81	81	373		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2007	17	4/23/07	4/29/07		3058	21		119		86	226			68	68	294		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	18	4/30/07	5/6/07		3006	15		81		51	147			56	56	203		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	19	5/7/07	5/13/07		2591	7		38		43	88			38	38	126		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	20	5/14/07	5/20/07		2370	3		23		39	65			27	27	92		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	21	5/21/07	5/27/07		1990	4		32		34	70			14	14	84		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	22	5/28/07	6/3/07		1731	2		7		12	21			9	9	30		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	23	6/4/07	6/10/07		1711	1		5		10	16			4	4	20		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	24	6/11/07	6/17/07		1529	0		6		13	19			7	7	26		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	25	6/18/07	6/24/07		1300	3		1		2	6			2	2	8		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	26	6/25/07	7/1/07		1278	0		1		10	11			4	4	15		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	27	7/2/07	7/8/07		1121	2		3		8	13			5	5	18		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	28	7/9/07	7/15/07		1195	4		8		9	21			2	2	23		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	29	7/16/07	7/22/07		1154	4		3		8	15			1	1	16		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	30	7/23/07	7/29/07		1165	14		7		14	35			2	2	37		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	31	7/30/07	8/5/07		1217	2		6		14	22			2	2	24		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	32	8/6/07	8/12/07		1157	11		5		14	30			4	4	34		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	33	8/13/07	8/19/07		1120	7		2		10	19			0	0	19		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	34	8/20/07	8/26/07		1170	1		0		21	22			1	1	23		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	35	8/27/07	9/2/07		1204	10		0		13	23			7	7	30		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	36	9/3/07	9/9/07		1093	10		0		14	24			0	0	24		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	37	9/10/07	9/16/07		1228	14		1		8	23			7	7	30		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	38	9/17/07	9/23/07		954	11		1		15	27			3	3	30		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	39	9/24/07	9/30/07		1052	3		1		16	20			0	0	20		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	40	10/1/07	10/7/07		2340	17		2		20	39			5	5	44		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	41	10/8/07	10/14/07		2556	19		3		22	44			0	0	44		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	42	10/15/07	10/21/07		2957	16		2		28	46			2	2	48		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	43	10/22/07	10/28/07		3130	16		2		27	45			5	5	50		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	44	10/29/07	11/4/07		3533	10		0		53	63			11	11	74		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2007	45	11/5/07	11/11/07		3767	17		10		47	74			11	11	85		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2007	46	11/12/07	11/18/07		4106	24		6		55	85			2	2	87		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2007	47	11/19/07	11/25/07		4029	35		2		90	127			13	13	140		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	48	11/26/07	12/2/07		4644	49		12		50	111			13	13	124		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	49	12/3/07	12/9/07		4881	35		10		112	157			22	22	179		Sporadic
United States of America	Region of the Americas of WHO	North America	2007	50	12/10/07	12/16/07		5168	53		22		116	191			27	27	218		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2007	51	12/17/07	12/23/07		5846	70		28		165	263			50	50	313		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2007	52	12/24/07	12/30/07		6216	80		26		260	366			85	85	451		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	1	12/31/07	1/6/08		6802	96		59		318	473			106	106	579		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2008	2	1/7/08	1/13/08		7373	179		143		528	850			161	161	1011		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2008	3	1/14/08	1/20/08		7803	220		204		702	1126			210	210	1336		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	4	1/21/08	1/27/08		9450	223		386		1208	1817			338	338	2155		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	5	1/28/08	2/3/08		13377	262		634		2263	3159			659	659	3818		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	6	2/4/08	2/10/08		14936	268		836		2740	3844			889	889	4733		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	7	2/11/08	2/17/08		14972	211		833		2620	3664			1079	1079	4743		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	8	2/18/08	2/24/08		17147	190		973		2663	3826			1360	1360	5186		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	9	2/25/08	3/2/08		15842	132		802		2041	2975			1396	1396	4371		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	10	3/3/08	3/9/08		14963	74		628		1477	2179			1366	1366	3545		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	11	3/10/08	3/16/08		11515	79		485		897	1461			1083	1083	2544		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	12	3/17/08	3/23/08		9509	49		397		589	1035			908	908	1943		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2008	13	3/24/08	3/30/08		7682	14		175		413	602			776	776	1378		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2008	14	3/31/08	4/6/08		6054	12		105		258	375			505	505	880		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2008	15	4/7/08	4/13/08		5189	6		52		140	198			410	410	608		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2008	16	4/14/08	4/20/08		4018	0		32		82	114			233	233	347		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	17	4/21/08	4/27/08		3477	5		10		44	59			126	126	185		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2008	18	4/28/08	5/4/08		2680	1		9		36	46			79	79	125		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	19	5/5/08	5/11/08		2499	0		10		12	22			42	42	64		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2008	20	5/12/08	5/18/08		2364	0		4		14	18			19	19	37		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	21	5/19/08	5/25/08		2067	1		4		9	14			15	15	29		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	22	5/26/08	6/1/08		1887	0		2		7	9			10	10	19		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	23	6/2/08	6/8/08		1833	0		1		11	12			5	5	17		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	24	6/9/08	6/15/08		1484	0		0		4	4			7	7	11		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	25	6/16/08	6/22/08		1447	0		2		3	5			2	2	7		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	26	6/23/08	6/29/08		1305	0		0		0	0			6	6	6		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	27	6/30/08	7/6/08		1120	0		0		1	1			3	3	4		No Activity
United States of America	Region of the Americas of WHO	North America	2008	28	7/7/08	7/13/08		1193	1		1		0	2			4	4	6		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	29	7/14/08	7/20/08		1097	0		0		2	2			2	2	4		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	30	7/21/08	7/27/08		1046	1		5		3	9			0	0	9		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	31	7/28/08	8/3/08		1042	0		1		2	3			4	4	7		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	32	8/4/08	8/10/08		991	1		0		5	6			1	1	7		Sporadic
United States of America	Region of the Americas of WHO	North America	2008	33	8/11/08	8/17/08		931	0		0		0	0			1	1	1		Sporadic
